conference,bids,years,avg_bids
A 10,36,11,3.272727272727273
ACC,69,11,6.2727272727272725
Am. East,11,11,1
American,23,8,2.875
ASUN,11,11,1
Big 12,69,11,6.2727272727272725
Big East,70,11,6.363636363636363
Big Sky,11,11,1
Big South,11,11,1
Big Ten,77,11,7
Big West,11,11,1
C-USA,14,11,1.2727272727272727
CAA,13,11,1.181818181818182
Horizon,11,11,1
Ivy,10,10,1
MAAC,12,11,1.0909090909090908
MAC,11,11,1
MEAC,11,11,1
Mountain West,29,11,2.636363636363636
MVC,16,11,1.4545454545454546
NEC,11,11,1
OVC,12,11,1.0909090909090908
Pac-12,46,11,4.181818181818182
Patriot,10,10,1
SEC,55,11,5
Southern,11,11,1
Southland,9,9,1
Summit,11,11,1
Sun Belt,12,11,1.0909090909090908
SWAC,11,11,1
WAC,12,11,1.0909090909090908
WCC,21,11,1.9090909090909092
